CustomerID,Recency,MonetaryValue,Country,CohortDay,Frequency,R,F,M,Cluster
12872.0,326,599.97,United Kingdom,2010-12-09,2,1,2,3,2
12873.0,282,374.0,United Kingdom,2011-03-02,1,1,1,2,2
12875.0,143,343.2300000000001,United Kingdom,2010-12-12,2,2,2,2,2
12877.0,3,1535.77,United Kingdom,2010-12-16,12,5,5,4,3
12878.0,236,854.99,United Kingdom,2011-03-18,2,1,2,3,2
12879.0,44,573.22,United Kingdom,2011-09-09,3,3,3,3,1
12881.0,275,298.0,United Kingdom,2011-03-09,1,1,1,2,2
12882.0,9,1463.04,United Kingdom,2011-11-06,2,5,2,4,0
12883.0,24,703.47,United Kingdom,2011-09-11,4,4,4,3,1
12884.0,88,309.05,United Kingdom,2011-09-12,1,2,1,2,2
12885.0,63,1175.22,United Kingdom,2011-08-08,3,3,3,4,1
12886.0,67,1378.4,United Kingdom,2011-05-04,2,3,2,4,1
12888.0,214,354.12,United Kingdom,2011-03-29,2,1,2,2,2
12890.0,24,376.71999999999997,United Kingdom,2011-11-15,1,4,1,2,0
12891.0,185,331.0,United Kingdom,2011-02-20,3,1,3,2,2
12893.0,30,176.55,United Kingdom,2011-11-09,1,4,1,1,0
12895.0,42,372.8,United Kingdom,2011-09-14,2,3,2,2,0
12897.0,204,216.5,United Kingdom,2011-02-11,2,1,2,1,2
12901.0,8,17654.54,United Kingdom,2011-03-14,28,5,5,5,3
12902.0,264,138.68,United Kingdom,2011-03-20,1,1,1,1,2
12904.0,18,496.06,United Kingdom,2011-06-20,2,4,2,3,0
12906.0,11,2919.81,United Kingdom,2011-09-22,4,5,4,5,3
12908.0,176,750.0,United Kingdom,2011-01-31,2,2,2,3,2
12909.0,39,2178.67,United Kingdom,2011-03-31,5,3,4,5,1
12910.0,23,3075.04,United Kingdom,2011-04-12,8,4,5,5,3
12912.0,2,1662.3,United Kingdom,2011-10-30,5,5,4,4,3
12913.0,4,2483.63,United Kingdom,2010-12-06,5,5,4,5,3
12915.0,148,363.65,United Kingdom,2010-12-02,2,2,2,2,2
12916.0,138,2944.95,United Kingdom,2011-01-23,4,2,4,5,1
12917.0,128,594.0,United Kingdom,2011-08-03,1,2,1,3,2
12919.0,8,1335.19,United Kingdom,2011-06-23,6,5,5,4,3
12920.0,17,162.78,United Kingdom,2011-11-22,1,4,1,1,0
12921.0,9,16587.09,United Kingdom,2010-12-01,36,5,5,5,3
12922.0,161,405.38,United Kingdom,2011-07-01,1,2,1,2,2
12923.0,64,172.82,United Kingdom,2011-10-06,1,3,1,1,2
12924.0,88,933.7,United Kingdom,2011-01-16,4,2,4,4,1
12925.0,4,694.05,United Kingdom,2011-09-26,2,5,2,3,0
12928.0,35,2062.7000000000003,United Kingdom,2010-12-15,5,3,4,5,1
12929.0,311,117.85,United Kingdom,2011-02-01,1,1,1,1,2
12930.0,78,415.8,United Kingdom,2011-06-21,2,2,2,2,2
12931.0,21,42055.96,United Kingdom,2010-12-17,15,4,5,5,3
12933.0,24,607.53,United Kingdom,2011-03-01,3,4,3,3,0
12935.0,2,2160.7,United Kingdom,2011-01-24,7,5,5,5,3
12936.0,17,1063.9,United Kingdom,2011-09-22,4,4,4,4,1
12937.0,15,1504.27,United Kingdom,2011-03-17,4,4,4,4,1
12938.0,25,114.14,United Kingdom,2011-11-14,1,4,1,1,0
12939.0,64,11581.8,United Kingdom,2011-01-09,8,3,5,5,3
12940.0,54,899.69,United Kingdom,2011-09-13,2,3,2,4,1
12942.0,131,675.6,United Kingdom,2010-12-09,3,2,3,3,1
12944.0,35,604.51,United Kingdom,2010-12-20,2,3,2,3,0
12945.0,288,462.95,United Kingdom,2011-02-24,1,1,1,2,2
12947.0,143,1603.99,United Kingdom,2010-12-01,6,2,5,4,1
12948.0,16,2064.95,United Kingdom,2011-03-20,7,4,5,5,3
12949.0,30,4167.22,United Kingdom,2011-04-01,8,4,5,5,3
12950.0,2,1843.0,United Kingdom,2011-11-15,3,5,3,4,3
12951.0,8,1064.07,United Kingdom,2011-01-13,6,5,5,4,3
12952.0,5,1387.79,United Kingdom,2011-09-22,4,5,4,4,3
12953.0,9,329.85,United Kingdom,2011-11-30,1,5,1,2,0
12955.0,1,4757.16,United Kingdom,2011-03-17,11,5,5,5,3
12956.0,306,108.07,United Kingdom,2011-02-06,1,1,1,1,2
12957.0,9,4017.54,United Kingdom,2011-01-04,8,5,5,5,3
12962.0,7,266.39,United Kingdom,2011-08-18,2,5,2,2,0
12963.0,8,1856.63,United Kingdom,2010-12-09,8,5,5,4,3
12965.0,89,769.8100000000001,United Kingdom,2011-09-11,1,2,1,3,2
12966.0,9,160.18,United Kingdom,2011-11-30,1,5,1,1,0
12967.0,358,1660.9,United Kingdom,2010-12-03,2,1,2,4,1
12968.0,112,135.95,United Kingdom,2011-08-19,1,2,1,1,2
12970.0,7,405.47,United Kingdom,2011-01-21,4,5,4,2,0
12971.0,3,11189.91,United Kingdom,2010-12-02,83,5,5,5,3
12974.0,197,144.8,United Kingdom,2011-05-26,1,1,1,1,2
12976.0,211,738.6,United Kingdom,2011-05-12,1,1,1,3,2
12977.0,156,39.239999999999995,United Kingdom,2011-07-06,1,2,1,1,2
12980.0,157,7374.900000000001,United Kingdom,2010-12-16,9,2,5,5,1
12981.0,29,372.21999999999997,United Kingdom,2011-07-29,2,4,2,2,0
12982.0,242,390.54,United Kingdom,2011-04-11,1,1,1,2,2
12984.0,18,97.5,United Kingdom,2011-11-21,1,4,1,1,0
12985.0,0,1239.38,United Kingdom,2011-11-11,2,5,2,4,0
12987.0,73,558.7,United Kingdom,2011-05-26,2,2,2,3,2
12988.0,292,505.82,United Kingdom,2011-02-20,1,1,1,3,2
12989.0,3,6924.110000000001,United Kingdom,2010-12-10,15,5,5,5,3
12990.0,31,409.5,United Kingdom,2011-02-02,3,4,3,2,0
12991.0,23,503.76,United Kingdom,2011-08-19,2,4,2,3,0
12993.0,23,414.76,United Kingdom,2011-02-14,4,4,4,2,0
12994.0,4,974.4200000000001,United Kingdom,2011-03-16,3,5,3,4,0
12995.0,85,211.32,United Kingdom,2011-09-15,1,2,1,1,2
12997.0,22,1226.89,United Kingdom,2011-01-26,4,4,4,4,1
12999.0,196,455.88,United Kingdom,2011-04-08,3,1,3,2,2
13000.0,106,534.85,United Kingdom,2010-12-10,3,2,3,3,1
13001.0,4,9785.970000000001,United Kingdom,2011-01-17,13,5,5,5,3
13002.0,318,120.94999999999999,United Kingdom,2011-01-25,1,1,1,1,2
13003.0,105,149.05,United Kingdom,2011-05-09,3,2,3,1,2
13004.0,11,5655.91,United Kingdom,2010-12-17,18,5,5,5,3
13005.0,173,513.7,United Kingdom,2011-04-07,2,2,2,3,2
13006.0,56,81.57,United Kingdom,2011-10-14,1,3,1,1,2
13008.0,323,229.46999999999997,United Kingdom,2011-01-20,1,1,1,1,2
13011.0,372,50.550000000000004,United Kingdom,2010-12-02,1,1,1,1,2
13012.0,9,1646.8400000000001,United Kingdom,2011-02-18,8,5,5,4,3
13013.0,1,4810.9400000000005,United Kingdom,2010-12-03,13,5,5,5,3
13014.0,10,3466.2799999999997,United Kingdom,2011-03-03,10,5,5,5,3
13015.0,53,3339.64,United Kingdom,2011-04-04,5,3,4,5,1
13016.0,73,789.89,United Kingdom,2011-08-08,3,2,3,3,1
13017.0,7,204.0,United Kingdom,2011-12-02,1,5,1,1,0
13018.0,16,7277.7,United Kingdom,2011-02-17,26,4,5,5,3
13021.0,4,2616.38,United Kingdom,2010-12-16,9,5,5,5,3
13023.0,64,689.9,United Kingdom,2011-08-02,2,3,2,3,1
13026.0,1,975.36,United Kingdom,2011-03-09,5,5,4,4,3
13027.0,113,6912.0,United Kingdom,2010-12-20,6,2,5,5,1
13028.0,22,661.3199999999999,United Kingdom,2011-10-25,2,4,2,3,0
13029.0,30,1247.5,United Kingdom,2010-12-21,3,4,3,4,1
13030.0,11,752.4399999999999,United Kingdom,2010-12-06,2,5,2,3,0
13032.0,52,1010.18,United Kingdom,2011-09-13,2,3,2,4,1
13033.0,357,190.55,United Kingdom,2010-12-17,1,1,1,1,2
13034.0,54,642.77,United Kingdom,2010-12-05,2,3,2,3,1
13035.0,73,921.88,United Kingdom,2011-03-24,2,2,2,4,1
13037.0,138,881.07,United Kingdom,2011-03-28,3,2,3,3,1
13038.0,80,908.46,United Kingdom,2011-02-22,3,2,3,4,1
13040.0,8,676.99,United Kingdom,2011-11-06,2,5,2,3,0
13043.0,273,516.42,United Kingdom,2011-03-11,1,1,1,3,2
13044.0,291,560.47,United Kingdom,2011-02-21,1,1,1,3,2
13045.0,99,305.28000000000003,United Kingdom,2011-09-01,1,2,1,2,2
13046.0,30,629.31,United Kingdom,2011-03-18,2,4,2,3,0
13047.0,31,3237.54,United Kingdom,2010-12-01,9,4,5,5,3
13048.0,14,1819.41,United Kingdom,2011-01-16,4,4,4,4,1
13049.0,64,656.6800000000001,United Kingdom,2011-01-25,2,3,2,3,1
13050.0,14,5836.86,United Kingdom,2010-12-08,17,4,5,5,3
13052.0,212,348.15000000000003,United Kingdom,2011-05-11,1,1,1,2,2
13055.0,78,1214.41,United Kingdom,2011-05-10,3,2,3,4,1
13058.0,24,271.40000000000003,United Kingdom,2011-07-11,3,4,3,2,0
13059.0,249,183.4,United Kingdom,2011-04-04,1,1,1,1,2
13060.0,253,307.53,United Kingdom,2011-03-31,1,1,1,2,2
13061.0,72,248.61,United Kingdom,2011-09-28,1,2,1,2,2
13062.0,191,346.98,United Kingdom,2011-06-01,1,1,1,2,2
13064.0,12,1105.59,United Kingdom,2011-01-16,4,5,4,4,1
13065.0,373,205.86,United Kingdom,2010-12-01,1,1,1,1,2
13066.0,24,470.8,United Kingdom,2011-11-07,2,4,2,3,0
13067.0,82,115.46000000000001,United Kingdom,2011-09-18,1,2,1,1,2
13068.0,10,344.0,United Kingdom,2011-01-24,2,5,2,2,0
13069.0,0,4431.44,United Kingdom,2010-12-05,24,5,5,5,3
13070.0,192,228.8,United Kingdom,2011-05-31,1,1,1,1,2
13072.0,266,177.15,United Kingdom,2011-03-18,1,1,1,1,2
13075.0,129,919.61,United Kingdom,2011-08-02,1,2,1,4,2
13077.0,1,728.02,United Kingdom,2010-12-08,4,5,4,3,0
13078.0,3,12627.94,United Kingdom,2010-12-08,26,5,5,5,3
13079.0,4,220.10000000000002,United Kingdom,2011-07-22,5,5,4,1,0
13080.0,179,58.08,United Kingdom,2011-06-13,1,1,1,1,2
13081.0,11,28337.38,United Kingdom,2010-12-03,11,5,5,5,3
13082.0,126,3613.63,United Kingdom,2011-01-05,9,2,5,5,1
13083.0,4,303.75,United Kingdom,2011-09-25,2,5,2,2,0
13085.0,157,416.08000000000004,United Kingdom,2011-02-17,2,2,2,2,2
13089.0,2,58762.08,United Kingdom,2010-12-05,93,5,5,5,3
13090.0,8,8910.82,United Kingdom,2010-12-02,14,5,5,5,3
13091.0,28,345.82,United Kingdom,2011-11-11,1,4,1,2,0
13092.0,70,477.83,United Kingdom,2010-12-15,5,3,4,3,1
13093.0,275,7832.47,United Kingdom,2010-12-01,8,1,5,5,1
13094.0,21,1927.3200000000002,United Kingdom,2010-12-06,12,4,5,4,3
13095.0,70,74.39999999999999,United Kingdom,2011-09-30,1,3,1,1,2
13097.0,32,6003.22,United Kingdom,2010-12-14,10,4,5,5,3
13098.0,1,28882.44,United Kingdom,2011-01-26,28,5,5,5,3
13099.0,99,207.35999999999999,United Kingdom,2011-09-01,1,2,1,1,2
13101.0,234,101.19,United Kingdom,2011-04-19,1,1,1,1,2
13102.0,1,6424.09,United Kingdom,2010-12-09,24,5,5,5,3
13103.0,39,243.94,United Kingdom,2011-10-31,1,3,1,2,2
13104.0,3,1098.48,United Kingdom,2010-12-20,6,5,5,4,3
13106.0,133,76.5,United Kingdom,2011-07-29,1,2,1,1,2
13107.0,44,1531.6200000000001,United Kingdom,2011-01-10,4,3,4,4,1
13108.0,372,350.06,United Kingdom,2010-12-02,1,1,1,2,2
13109.0,59,786.54,United Kingdom,2011-07-05,2,3,2,3,1
13110.0,31,1488.67,United Kingdom,2011-02-01,7,4,5,4,1
13113.0,0,12245.960000000001,United Kingdom,2010-12-08,24,5,5,5,3
13115.0,11,2294.78,United Kingdom,2011-06-08,4,5,4,5,1
13116.0,138,501.14,United Kingdom,2011-07-24,1,2,1,3,2
13117.0,21,984.91,United Kingdom,2010-12-02,8,4,5,4,1
13118.0,19,1197.81,United Kingdom,2011-02-24,5,4,4,4,1
13120.0,238,30.599999999999998,United Kingdom,2011-04-15,1,1,1,1,2
13121.0,269,283.73,United Kingdom,2011-03-15,1,1,1,2,2
13122.0,94,922.39,United Kingdom,2011-04-13,2,2,2,4,1
13124.0,89,3756.33,United Kingdom,2010-12-15,3,2,3,5,1
13126.0,4,2099.64,United Kingdom,2010-12-08,8,5,5,5,3
13127.0,77,259.17,United Kingdom,2011-09-23,1,2,1,2,2
13130.0,94,64.0,United Kingdom,2011-09-06,1,2,1,1,2
13131.0,23,1073.3,United Kingdom,2011-06-05,3,4,3,4,1
13132.0,261,77.3,United Kingdom,2011-03-23,1,1,1,1,2
13133.0,273,109.8,United Kingdom,2011-02-08,2,1,2,1,2
13134.0,85,1793.58,United Kingdom,2011-04-13,4,2,4,4,1
13135.0,196,3096.0,United Kingdom,2011-05-27,1,1,1,5,1
13136.0,56,2607.61,United Kingdom,2011-05-11,5,3,4,5,1
13137.0,10,3603.29,United Kingdom,2011-02-04,8,5,5,5,3
13138.0,22,962.39,United Kingdom,2010-12-02,6,4,5,4,1
13139.0,16,5064.94,United Kingdom,2011-03-25,7,4,5,5,3
13140.0,108,422.47,United Kingdom,2010-12-08,3,2,3,2,1
13141.0,84,2388.75,United Kingdom,2011-01-28,5,2,4,5,1
13142.0,19,307.09,United Kingdom,2011-11-20,1,4,1,2,0
13144.0,332,110.95,United Kingdom,2011-01-11,1,1,1,1,2
13145.0,39,618.52,United Kingdom,2010-12-02,4,3,4,3,1
13146.0,26,228.91,United Kingdom,2011-11-13,1,4,1,1,0
13147.0,10,712.8000000000001,United Kingdom,2011-09-01,4,5,4,3,0
13148.0,29,3683.26,United Kingdom,2010-12-10,12,4,5,5,3
13149.0,14,1676.06,United Kingdom,2011-02-23,4,4,4,4,1
13151.0,295,1257.8700000000001,United Kingdom,2011-02-17,1,1,1,4,2
13153.0,5,486.22,United Kingdom,2011-12-04,1,5,1,3,0
13155.0,33,971.76,United Kingdom,2010-12-06,4,3,4,4,1
13157.0,49,1741.22,United Kingdom,2011-02-14,4,3,4,4,1
13158.0,94,1201.06,United Kingdom,2011-01-25,4,2,4,4,1
13159.0,8,1429.35,United Kingdom,2011-08-16,4,5,4,4,1
13160.0,22,91.8,United Kingdom,2011-11-17,1,4,1,1,0
13161.0,313,112.75,United Kingdom,2011-01-30,1,1,1,1,2
13162.0,122,1688.29,United Kingdom,2011-01-09,4,2,4,4,1
13165.0,46,1021.48,United Kingdom,2010-12-23,2,3,2,4,1
13166.0,283,417.2,United Kingdom,2011-03-01,1,1,1,2,2
13167.0,18,791.33,United Kingdom,2011-07-19,4,4,4,3,1
13168.0,36,1299.59,United Kingdom,2011-01-25,4,3,4,4,1
13169.0,63,712.88,United Kingdom,2011-04-01,2,3,2,3,1
13170.0,26,108.81,United Kingdom,2011-11-13,1,4,1,1,0
13171.0,21,468.41,United Kingdom,2011-02-13,3,4,3,3,0
13173.0,4,353.65,United Kingdom,2010-12-07,2,5,2,2,0
13174.0,16,2742.82,United Kingdom,2010-12-05,3,4,3,5,1
13176.0,46,481.49,United Kingdom,2011-10-24,1,3,1,3,2
13177.0,64,282.45,United Kingdom,2011-10-06,1,3,1,2,2
13178.0,26,5725.47,United Kingdom,2010-12-14,11,4,5,5,3
13182.0,45,121.18,United Kingdom,2011-10-25,1,3,1,1,2
13183.0,7,3957.78,United Kingdom,2011-01-09,9,5,5,5,3
13184.0,14,1668.95,United Kingdom,2011-02-22,10,4,5,4,3
13185.0,267,71.4,United Kingdom,2011-03-17,1,1,1,1,2
13186.0,39,1575.89,United Kingdom,2011-08-03,3,3,3,4,1
13187.0,337,236.02,United Kingdom,2011-01-06,1,1,1,1,2
13188.0,11,114.60000000000001,United Kingdom,2011-11-28,1,5,1,1,0
13189.0,18,260.68,United Kingdom,2011-08-16,2,4,2,2,0
13192.0,95,911.94,United Kingdom,2011-05-18,2,2,2,4,1
13193.0,61,112.08,United Kingdom,2011-10-09,1,3,1,1,2
13194.0,135,60.7,United Kingdom,2011-07-27,1,2,1,1,2
13196.0,11,1797.78,United Kingdom,2011-03-22,4,5,4,4,1
13198.0,10,3401.2400000000002,United Kingdom,2010-12-13,6,5,5,5,3
13199.0,3,9817.12,United Kingdom,2010-12-08,36,5,5,5,3
13200.0,19,870.09,United Kingdom,2011-08-05,4,4,4,3,1
13203.0,9,869.46,United Kingdom,2011-04-11,4,5,4,3,0
13207.0,15,250.26000000000002,United Kingdom,2011-07-12,2,4,2,2,0
13208.0,58,1217.65,United Kingdom,2011-02-03,6,3,5,4,1
13209.0,30,5891.61,United Kingdom,2010-12-13,8,4,5,5,3
13210.0,93,353.48,United Kingdom,2011-09-07,1,2,1,2,2
13211.0,10,1095.42,United Kingdom,2010-12-13,3,5,3,4,0
13212.0,19,786.83,United Kingdom,2011-10-09,3,4,3,3,1
13213.0,56,1520.58,United Kingdom,2011-05-24,5,3,4,4,1
13216.0,267,333.74,United Kingdom,2011-03-17,1,1,1,2,2
13217.0,122,533.98,United Kingdom,2011-07-06,3,2,3,3,1
13218.0,127,62.63999999999999,United Kingdom,2011-08-04,1,2,1,1,2
13220.0,78,819.2900000000001,United Kingdom,2011-04-17,4,2,4,3,1
13221.0,240,847.41,United Kingdom,2010-12-15,2,1,2,3,2
13223.0,200,163.20000000000002,United Kingdom,2011-04-21,2,1,2,1,2
13224.0,60,2155.95,United Kingdom,2011-07-11,2,3,2,5,1
13225.0,3,6463.84,United Kingdom,2010-12-13,7,5,5,5,3
13226.0,273,108.21000000000001,United Kingdom,2011-03-11,1,1,1,1,2
13227.0,201,257.7,United Kingdom,2011-05-22,1,1,1,2,2
13228.0,81,358.0,United Kingdom,2011-09-19,1,2,1,2,2
13229.0,225,160.95,United Kingdom,2011-04-28,1,1,1,1,2
13230.0,4,2755.63,United Kingdom,2010-12-09,16,5,5,5,3
13232.0,12,1328.35,United Kingdom,2011-04-10,7,5,5,4,3
13233.0,74,605.12,United Kingdom,2011-01-07,2,2,2,3,1
13235.0,212,1031.07,United Kingdom,2011-05-11,1,1,1,4,2
13236.0,24,744.85,United Kingdom,2011-08-25,2,4,2,3,0
13238.0,17,700.73,United Kingdom,2010-12-14,4,4,4,3,1
13239.0,261,329.56,United Kingdom,2011-03-23,1,1,1,2,2
13240.0,96,663.65,United Kingdom,2010-12-09,4,2,4,3,1
13242.0,112,270.40000000000003,United Kingdom,2011-05-10,3,2,3,2,2
13243.0,203,585.12,United Kingdom,2011-05-20,1,1,1,3,2
13244.0,92,121.74000000000001,United Kingdom,2011-09-08,1,2,1,1,2
13245.0,50,430.5,United Kingdom,2011-10-20,1,3,1,2,2
13246.0,18,1961.52,United Kingdom,2011-01-13,6,4,5,5,1
13247.0,17,501.12,United Kingdom,2011-09-18,4,4,4,3,0
13248.0,124,465.68,United Kingdom,2011-06-03,2,2,2,3,2
13249.0,92,711.41,United Kingdom,2011-03-23,3,2,3,3,1
13253.0,156,1030.4,United Kingdom,2011-01-04,2,2,2,4,1
13255.0,9,399.51,United Kingdom,2010-12-01,2,5,2,2,0
13258.0,11,672.83,United Kingdom,2011-05-18,3,5,3,3,0
13259.0,61,283.18,United Kingdom,2011-10-09,1,3,1,2,2
13260.0,61,557.62,United Kingdom,2011-10-09,1,3,1,3,2
13261.0,268,944.1,United Kingdom,2011-02-27,2,1,2,4,2
13262.0,263,200.29,United Kingdom,2011-03-21,1,1,1,1,2
13263.0,1,7436.93,United Kingdom,2011-01-18,35,5,5,5,3
13265.0,53,2092.66,United Kingdom,2011-03-11,5,3,4,5,1
13266.0,11,3834.2599999999998,United Kingdom,2011-03-28,12,5,5,5,3
13267.0,2,4521.49,United Kingdom,2010-12-08,18,5,5,5,3
13268.0,17,3174.75,United Kingdom,2011-03-17,11,4,5,5,3
13269.0,1,5343.28,United Kingdom,2010-12-05,15,5,5,5,3
13270.0,366,590.0,United Kingdom,2010-12-08,1,1,1,3,2
13271.0,37,211.49,United Kingdom,2011-11-02,1,3,1,1,2
13272.0,31,276.56,United Kingdom,2011-09-11,2,4,2,2,0
13273.0,113,138.98,United Kingdom,2011-08-18,1,2,1,1,2
13276.0,63,590.9300000000001,United Kingdom,2011-09-01,2,3,2,3,1
13277.0,15,258.4,United Kingdom,2011-07-29,4,4,4,2,0
13278.0,40,542.73,United Kingdom,2011-10-30,1,3,1,3,0
13279.0,78,137.75,United Kingdom,2011-09-22,1,2,1,1,2
13280.0,122,798.46,United Kingdom,2011-01-06,3,2,3,3,1
13282.0,18,1132.14,United Kingdom,2011-05-03,3,4,3,4,1
13283.0,59,93.66,United Kingdom,2011-06-07,2,3,2,1,2
13284.0,330,201.19,United Kingdom,2011-01-13,1,1,1,1,2
13285.0,23,2709.12,United Kingdom,2011-02-22,4,4,4,5,1
13291.0,155,361.11,United Kingdom,2011-07-07,1,2,1,2,2
13292.0,38,578.9399999999999,United Kingdom,2011-02-28,2,3,2,3,0
13294.0,189,873.74,United Kingdom,2011-04-04,2,1,2,3,2
13295.0,359,201.20000000000002,United Kingdom,2010-12-15,1,1,1,1,2
13296.0,137,87.4,United Kingdom,2011-07-25,1,2,1,1,2
13297.0,7,2089.85,United Kingdom,2011-10-03,4,5,4,5,3
13298.0,1,360.0,United Kingdom,2011-12-08,1,5,1,2,0
13299.0,268,142.5,United Kingdom,2011-03-16,1,1,1,1,2
13300.0,169,371.89,United Kingdom,2011-06-23,1,2,1,2,2
13301.0,103,618.09,United Kingdom,2011-02-20,4,2,4,3,1
13302.0,155,63.75,United Kingdom,2011-07-07,1,2,1,1,2
13304.0,351,300.42,United Kingdom,2010-12-23,1,1,1,2,2
13305.0,4,2000.86,United Kingdom,2010-12-02,10,5,5,5,3
13307.0,120,15.0,United Kingdom,2011-08-11,1,2,1,1,2
13308.0,22,1385.51,United Kingdom,2011-05-20,3,4,3,4,1
13309.0,7,1456.79,United Kingdom,2011-02-04,5,5,4,4,3
13310.0,28,1132.03,United Kingdom,2011-01-19,3,4,3,4,1
13311.0,4,598.57,United Kingdom,2011-07-12,2,5,2,3,0
13313.0,22,1555.32,United Kingdom,2011-01-04,5,4,4,4,1
13314.0,1,775.94,United Kingdom,2011-09-27,3,5,3,3,0
13316.0,37,5732.93,United Kingdom,2011-03-30,4,3,4,5,1
13317.0,66,2273.68,United Kingdom,2010-12-16,5,3,4,5,1
13318.0,1,640.76,United Kingdom,2011-11-02,3,5,3,3,0
13319.0,5,10845.550000000001,United Kingdom,2010-12-09,25,5,5,5,3
13320.0,78,1532.2,United Kingdom,2011-05-10,4,2,4,4,1
13321.0,72,567.36,United Kingdom,2011-09-14,2,2,2,3,1
13322.0,17,199.48000000000002,United Kingdom,2011-11-22,1,4,1,1,0
13323.0,3,787.85,United Kingdom,2011-09-16,5,5,4,3,3
13324.0,36,7121.95,United Kingdom,2010-12-14,10,3,5,5,3
13325.0,81,675.3,United Kingdom,2011-09-19,1,2,1,3,2
13327.0,38,3627.77,United Kingdom,2010-12-09,8,3,5,5,1
13328.0,316,1308.48,United Kingdom,2011-01-27,1,1,1,4,2
13329.0,31,789.0,United Kingdom,2010-12-08,2,4,2,3,0
13330.0,92,1140.93,United Kingdom,2011-01-28,3,2,3,4,1
13332.0,14,350.9,United Kingdom,2011-11-25,1,4,1,2,0
13334.0,82,3502.32,United Kingdom,2011-02-07,3,2,3,5,1
13336.0,77,795.12,United Kingdom,2011-09-23,1,2,1,3,2
13338.0,157,487.02,United Kingdom,2011-07-05,1,2,1,3,2
13339.0,200,860.12,United Kingdom,2011-05-23,1,1,1,3,2
13340.0,45,10736.48,United Kingdom,2011-03-08,7,3,5,5,3
13341.0,260,775.85,United Kingdom,2011-03-24,1,1,1,3,2
13343.0,177,353.43,United Kingdom,2011-06-15,1,2,1,2,2
13344.0,67,2511.69,United Kingdom,2011-03-07,3,3,3,5,1
13345.0,287,389.5,United Kingdom,2011-02-25,1,1,1,2,2
13347.0,70,341.36,United Kingdom,2011-09-30,1,3,1,2,2
13348.0,64,233.76,United Kingdom,2011-10-06,1,3,1,1,2
13349.0,10,247.32,United Kingdom,2011-11-29,1,5,1,2,0
13350.0,16,979.12,United Kingdom,2011-09-21,2,4,2,4,0
13351.0,66,373.94,United Kingdom,2011-10-04,1,3,1,2,2
